Date,Value
29-07-2021 00:32,55
29-07-2021 00:47,73
29-07-2021 01:02,78
29-07-2021 01:17,76
29-07-2021 01:32,77
29-07-2021 01:47,80
29-07-2021 02:02,80
29-07-2021 02:17,75
29-07-2021 02:32,67
29-07-2021 02:47,72
29-07-2021 03:02,80
29-07-2021 03:17,81
29-07-2021 03:32,83
29-07-2021 03:47,83
29-07-2021 04:02,82
29-07-2021 04:17,81
29-07-2021 04:32,77
29-07-2021 04:47,77
29-07-2021 05:02,75
29-07-2021 05:17,69
29-07-2021 05:32,69
29-07-2021 05:47,75
29-07-2021 06:02,76
29-07-2021 06:17,76
29-07-2021 06:32,77
29-07-2021 06:47,79
29-07-2021 07:02,83
29-07-2021 07:17,93
29-07-2021 07:32,95
29-07-2021 07:47,93
29-07-2021 08:02,91
29-07-2021 08:18,88
29-07-2021 08:33,90
29-07-2021 08:48,90
29-07-2021 09:03,92
29-07-2021 09:18,90
29-07-2021 09:33,89
29-07-2021 09:49,90
29-07-2021 10:04,103
29-07-2021 10:19,123
29-07-2021 10:34,119
29-07-2021 10:49,99
29-07-2021 11:04,95
29-07-2021 11:19,95
29-07-2021 11:34,89
29-07-2021 11:49,90
29-07-2021 12:04,88
29-07-2021 12:19,84
29-07-2021 12:34,84
29-07-2021 12:50,91
29-07-2021 13:05,98
29-07-2021 13:20,95
29-07-2021 13:35,86
29-07-2021 13:49,88
29-07-2021 14:05,92
29-07-2021 14:20,93
29-07-2021 14:35,103
29-07-2021 14:50,108
29-07-2021 15:06,98
29-07-2021 15:21,100
29-07-2021 15:36,105
29-07-2021 15:51,107
29-07-2021 16:06,105
29-07-2021 16:21,101
29-07-2021 16:36,95
29-07-2021 16:52,85
29-07-2021 17:07,87
29-07-2021 17:22,93
29-07-2021 17:37,101
29-07-2021 17:52,104
29-07-2021 18:07,97
29-07-2021 18:22,89
29-07-2021 18:37,95
29-07-2021 18:52,104
29-07-2021 19:07,110
29-07-2021 19:22,113
29-07-2021 19:37,115
29-07-2021 19:52,123
29-07-2021 20:07,121
29-07-2021 20:22,103
29-07-2021 20:37,106
29-07-2021 20:52,117
29-07-2021 21:07,101
29-07-2021 21:22,87
29-07-2021 22:11,75
29-07-2021 22:26,83
